,Highest,Lowest,Highest_Val,Lowest_Val
SO,PEG,GL,0.8931762144293477,-0.577743047197889
SPG,CAT,D,0.9419506074050221,-0.5099141792889406
SPGI,MCO,DG,0.9613619417554132,-0.6288164780769027
SRE,AEP,PCG,0.9104109296448621,-0.46893119795791055
STE,SPGI,DG,0.9209302975903383,-0.6401236645176438
STLD,DOV,BAX,0.8784494523387998,-0.7375087808134531
STT,BK,WM,0.9431228370053258,-0.5572055516792112
STX,WDC,NOC,0.8546742088099822,-0.5626418137603277
STZ,NTAP,MKTX,0.8250328782202657,-0.5733275113155127
SWK,MAS,HUM,0.9033409690871803,-0.6278011926109891
SWKS,MPWR,MOH,0.895406586790105,-0.7300911263998539
SYF,WFC,GIS,0.9008662227340973,-0.4975003265243927
SYK,BSX,CF,0.9684162126985171,-0.8963931296660589
SYY,MMM,LW,0.8245557521458843,-0.5749664553516161
T,FMC,DVA,0.8741677916209687,-0.6926089996350402
TAP,MLM,DG,0.9443079140084372,-0.8273894539538168
TDG,PNR,DG,0.9800452915996641,-0.8526160846157694
TDY,MTD,MOH,0.8782215046277294,-0.6272185366436844
TECH,CSX,REGN,0.7252124075069588,-0.3911746468158803
TEL,NXPI,DG,0.9378279737993763,-0.6420733660367341
TER,MCHP,MOH,0.9486194793027644,-0.7113704104291981
TFC,FITB,HSY,0.9721710070029326,-0.8282725693263141
TFX,EIX,LNC,0.8624595537332422,-0.5952849399793729
TGT,PARA,LLY,0.7686344083545484,-0.7421152535925781
TJX,JPM,D,0.9388705652160141,-0.8069405923729679
TMO,IP,CEG,0.7834358867500388,-0.3525799266911389
TMUS,T,DVA,0.7462343450959062,-0.562349354688887
TPR,BA,BAX,0.9489606798954865,-0.792105972940078
TRGP,BKR,AAP,0.9121414179877793,-0.5395653242033672
TRMB,MTCH,PCG,0.9346130784795901,-0.7629931261955294
TROW,IQV,GIS,0.8456192126764779,-0.2793292595422326
TRV,HIG,TSLA,0.8908368234598684,-0.7120022041158276
